title,artist,duration,anger,fear,joy,sadness,surprise,cleaned_lyrics
Where the Blacktop Ends,Keith Urban,180186.84399999998,0.17722931504249573,0.1250133514404297,0.17126202583312988,0.4962577223777771,0.03023761510848999,"gonna kick off my shoes and run in bare feet where the grass and the dirt and the gravel all meet goin' back to the well gonna visit old friends and feed my soul where the blacktop ends  i'm lookin' down the barrel of friday night ridin' on a river of freeway lights goodbye city i'm country bound 'til monday rolls around  gonna kick off my shoes and run in bare feet where the grass and the dirt and the gravel all meet goin' back to the well gonna visit old friends and feed my soul where the blacktop ends  workin' in the grind is an uphill road punchin' that clock and carryin' that load i bust it all week and then i'm free the weekend belongs to me  gonna kick off my shoes and run in bare feet where the grass and the dirt and the gravel all meet goin' back to the well gonna visit old friends and feed my soul where the blacktop ends  give me some fresh air give me that farm give me some time with you in my arms far away from the hustle and the pressure and the noise  gonna kick off my shoes and run in bare feet where the grass and the dirt and the gravel all meet goin' back to the well gonna visit old friends and feed my soul, you betcha  gonna kick off my shoes and run in bare feet where the grass and the dirt and the gravel all meet goin' back to the well gonna visit old friends and feed my soul where the blacktop ends  where the blacktop ends [repeat: x3]"
It's a Love Thing,Keith Urban,221471.922,0.2904558777809143,0.0873340368270874,0.07683662325143814,0.49546706676483154,0.04990643635392189,"yeah, yeah oh it's a love thing  i been working all day long and i'm ready to come on home to you, mm mm all the other guys roll their eyes and don't realize it's what i want to do it's what i want to do they say i'm wrapped around your finger but they don't understand that what we got is more than just a diamond on your hand  baby it's a love thing, whoa baby it's a love thing, yeah  sure i could hang around and complain about the way things ought to be yeah there's trouble in the world but you're the girl whose open arms are all i really need and that's why i come runnin' to be there by your side to let 'em call me crazy but it can't be denied  baby it's a love thing, whoa ah baby it's a love thing, yeah  and it's not about the same last name it's not a thing that can be explained it's how you make me feel inside and the way you hold me every night  it's a love thing, whoa oh baby, it's a love thing, yeah  here we go now it's a love thing  they say i'm wrapped around your finger but they don't understand that what we got is more than just a diamond on your hand baby it's a love thing, whoa oh baby it's a love thing, yeah come on it's a love thing, whoa oh baby, it's a love thing, yeah oh, it's a love thing, whoa oh sugar, it's a love thing no it ain't about no diamond ring it's a love thing, whoa oh baby it's a love thing, it's a love, it's a love, it's a love thing"
Glock Six (Bonus),6LACK,190914.46899999998,0.20278644561767578,0.15207204222679138,0.24860981106758118,0.3681301176548004,0.028401575982570648,"are you who i be in this weekend if so, let's get lost in the deep end exhale my name, then you absorb my soul every time that you breathe in take off that dress, lay your heart on my chest i think i wanna keep it you fall asleep, no worries, i be right here when you finish dreaming i see something in you, i know that it's crazy 'cause girl i just met you but we joining forces 'cause that would be gorgeous no girl, i won't let up i just rolled the dice so no more thinkin' twice destiny she won't fail us if you feel what i feel can you just keep it real baby, it ain't no pressure no need to state the obvi', i be close to your heart i know you looking for real love i got my hand on my glock, posted on the block i might just let off a shot, at anyone tryin' to kill love if we do this right, we'll be bonnie and clyde for the rest of our lives hit up a bank, then hide out in the woods for the rest of the night make love on the cash that we took from the vault just a while ago said you can't describe this, no feeling, you feeling, well i'll move slow i saw something in you that you didn't see, i made you a believer i taught you the ropes, now you good at the game baby, i was your teacher yeah, you made me fall like the autumn, but chin up 'cause i'll never leave ya i no longer front, girl, you're more than a one night i know that i need ya no need to state the obvi', i be close to your heart i know you looking for real love i got my hand on my glock, posted on the block i might just let off a shot, at anyone tryin' to kill love no need to state the obvi', i be close to your heart i know you looking for real love i got my hand on my glock, posted on the block i might just let off a... kill love love..."
You & Me (feat. G-Eazy),Marc E. Bassy,218546.21899999998,0.2806887626647949,0.0362224280834198,0.03962155804038048,0.6279670596122742,0.015500245615839958,"girl you party all the time don't let me stay on your mind adderall and cheap wine just to stay awake in conversation we were always so damn insecure so how could we ever know for sure disregard the way i know we feel that would make this city way too real  if we bump into each other on a crowded street itâ€™s not us no more itâ€™s just you and me weâ€™re just strangers in passing casually itâ€™s not us no more itâ€™s just you and me  shirt on my back with the rips gems in my golden necklace you didn't give me none of this there's nothing for me to miss we were too young on the day we met how could we say we would not forget and in the shadows there's a place for us somewhere hidden they can't find our love don't let 'em know  if we bump into each other on a crowded street itâ€™s not us no more itâ€™s just you and me weâ€™re just strangers in passing casually itâ€™s not us no more itâ€™s just you and me  eazy, and these days it's just you and me this shit is dead and gone, it's not what it used to be someone give a eulogy i know i'm hard headed and i might of acted foolishly but you the one to hold us down usually yeah, we was in a limbo but of all people you ain't have to fuck with him though that was my homie, i gave y'all the intro some things fall apart and some get thrown out the window remember when we first met we might've been too young but we was from the bay so we both was going too dumb i used to be the one for you now you got a new one so 'till the next lifetime, maybe we can do some'n (eazy)  if we bump into each other on a crowded street itâ€™s not us no more itâ€™s just you and me weâ€™re just strangers in passing casually itâ€™s not us no more itâ€™s just you and me  if we bump into each other on a crowded street it's not us no more"
Artists Only,Talking Heads,215690.15600000002,0.24678443372249603,0.2318693995475769,0.31234413385391235,0.14857232570648193,0.060429640114307404,"let's go! i'm painting, i'm painting again! i'm painting, i'm painting again! i'm cleaning, i'm cleaning again! i'm cleaning, cleaning my brain! pretty soon now, i will be bitter! pretty soon now, will be a quitter! pretty soon now, i will be bitter! you can't see it 'til it's finished! i don't have to prove that i am creative! i don't have to prove that i am creative! all my pictures are confused! and now i'm going to take me to you!"
Neon Light,Blake Shelton,221471.922,0.04075036197900772,0.47904983162879944,0.1500849723815918,0.2656043469905853,0.06451047211885452,"ever since you left me i've been ridin' 'round crankin' up a little country gold heartbreak cried and dried these tears i don't know how much more missin' you i can take i pray pray prayed, for a sign sign sign now there it is in the window it's about time, damn time  thereâ€™s a neon light at the end of the tunnel it ainâ€™t all that bright, but even though itâ€™s subtle itâ€™s got me feeling alright, go on and make it a double thereâ€™s a neon light at the end of the tunnel, tunnel, tunnel  i take a shot of 'i don't care what you doing now' chase that one with a cold 'screw you' when that's done, i just might wash it down with a big pitcher of 'someone new' that blond blonde blonde at the bar bar bar see if she wants to try and unbreak my heart heart heart  thereâ€™s a neon light at the end of the tunnel it ainâ€™t all that bright, but even though itâ€™s subtle itâ€™s got me feeling alright, go on and make it a double thereâ€™s a neon light at the end of the tunnel, tunnel, tunnel  when we were together i thought life was set forever even though i knew better that the pain would never end they say the night's darkest just before the dawn gets kissed by the daybreak got down on my knees and i prayed, prayed, prayed, for a sign, sign, sign now there it is in the window it's about time, damn time  thereâ€™s a neon light at the end of the tunnel it ainâ€™t all that bright, but even though itâ€™s subtle itâ€™s got me feeling alright, go on and make it a double thereâ€™s a neon light at the end of the tunnel, tunnel, tunnel"
God Made Woman,Keith Urban,290806.719,0.21864187717437744,0.10418969392776489,0.13198763132095337,0.506564199924469,0.03861657902598381,it never ceases to blow my mind it does it to me everytime standing here looking at you it makes me wonder what he was up to was he thinking about me when he thought about you when god made woman he must've been proud he must've been crying aloud or laughing out loud must've felt like the first time getting kissed by the sun when god made woman it must've been the most beautiful day looking down on all creation he took a river that winds and turns he took a fire that breathes and burns and put it all in place in the most perfect way when god made woman he must've been proud he must've been crying aloud or laughing out loud must've felt like the first time getting kissed by the sun when god made woman when god made woman he must've been proud he must've been crying aloud or laughing out loud must've felt like the first time getting kissed by the sun when god made woman let it go
Instant Karma!,"John Lennon, The Plastic Ono Band & Yoko Ono",201386.672,0.1799919605255127,0.13158084452152252,0.29782819747924805,0.37293004989624023,0.017668919637799263,"instant karma's gonna get you gonna knock you right on the head you better get yourself together pretty soon you're gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin' to do it's up to you, yeah you  instant karma's gonna get you gonna look you right in the face better get yourself together darlin' join the human race how in the world you gonna see laughin' at fools like me who in the hell d'you think you are a super star well, right you are  well we all shine on like the moon and the stars and the sun well we all shine on ev'ryone come on  instant karma's gonna get you gonna knock you off your feet better recognize your brothers ev'ryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when you're ev'rywhere come and get your share  well we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah, alright, uh huh, ah  well we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and on  well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun"
For What Itâ€™s Worth,Liam Gallagher,251681.09399999998,0.1739266812801361,0.22264495491981506,0.12251711636781693,0.41645365953445435,0.06445758789777756,"in my defense all my intentions were good and heaven knows a place somewhere for the misunderstood you know i'd give you blood if it'd be enough devil's on my doorstep since the day i was born its hard to find a sunset in the eye of a storm but i'm a dreamer by design and i know in time we'll put this behind for what it's worth i'm sorry for the hurt i'll be the first to say, ""i made my own mistakes"" for what it's worth i know it's just a word and words betray sometimes we lose our way for what it's worth behind the lens is a poison picture you paint and lets not pretend you were ever searching for saints cause i've been crucified for just being alive somewhere in the crossfire of this whispering war seems that i've forgot just what i was fighting for but underneath my skin there's a fire within still burning for what it's worth i'm sorry for the hurt i'll be the first to say, ""i made my own mistakes"" for what it's worth i know it's just a word and words betray sometimes we lose our way for what it's worth the first bird to fly gets all the arrows lets leave the past behind with all our sorrows i'll build a bridge between us and i'll swallow my pride for what it's worth i'm sorry for the hurt i'll be the first to say, ""i made my own mistakes"" for what it's worth i know it's just a word and words betray sometimes we lose our way for what it's worth"
She's My 11,Keith Urban,197555.375,0.09978382289409637,0.10506579279899597,0.3142348825931549,0.4230797290802002,0.05783573538064957,"i'm a lucky man, yes, i am living in heaven down here on earth her tennessee smile drives me wild don't you know, i know what its worth shes every little thing in life that makes me feel good  shes my radio turned up to 11 shes my country song that i just gotta sing along to so fine, so fine, like the finest wine shes my blue-eyed dream, my summer queen i cant believe shes mine, all mine mine, all mine, all mine mine, all mine, all mine  that cool breeze kiss from her lips is what i'm missing when i'm gone to tell the truth my heart's shot through when it comes to love, she can do no wrong shes every little thing in life that makes me feel so good  shes my radio turned up to 11 shes my country song that i just gotta sing along to so fine, so fine, like the finest wine shes my blue-eyed dream, my summer queen i cant believe shes mine, all mine mine, all mine, all mine mine, all mine, all mine  whoa, oh, whoa, oh, oh she got my heart skippin a beat whoa, oh, whoa, oh, oh she got me dancin in the street  shes my radio turned up to 11 shes my country song that i just gotta sing along to so fine, so fine, like the finest wine shes my blue-eyed dream, my summer queen i cant believe shes mine, all mine mine, all mine, all mine mine, all mine, all mine  mine, all mine, all mine"
